1,7
2,10
3,9
4,8
5,6
6,6
7,6
8,8
9,7
10,5
11,7
12,7
13,5
14,6
15,5
16,6
17,6
18,6
19,6
20,25
21,6
22,6
23,7
24,8
25,8
26,25
27,25
28,7
29,11
30,6
31,17
32,6
33,6
34,8
35,5
36,5
37,9
38,5
39,7
40,7
41,10
42,6
43,5
44,6
45,8
46,10
47,6
48,9
49,10
50,5
51,8
52,5
53,5
54,6
55,6
57,7
58,6
59,5
60,25
61,6
62,11
63,4
64,11
65,6
66,5
67,6
69,7
70,7
71,7
72,7
73,8
74,7
75,7
76,7
77,6
80,1
81,6
82,6
83,11
86,6
87,7
88,7
89,7
90,1
91,6
92,9
93,7
94,6
95,1
97,6
98,8
99,5
100,8
101,8
102,7
103,8
104,7
105,6
106,11
107,7
108,7
109,8
110,9
111,15
112,6
113,7
114,10
115,1
116,7
117,6
118,6
119,6
120,7
121,7
122,5
123,7
124,7
125,5
126,7
127,7
128,6
129,6
130,5
131,6
132,5
133,9
134,6
135,6
136,7
137,6
138,5
139,6
140,8
141,5
142,6
143,11
144,7
145,8
146,5
147,7
148,25
149,0
150,7
151,6
152,5
153,5
154,5
155,6
156,8
157,1
159,7
160,1
161,5
162,6
163,6
164,6
165,3
166,9
167,10
168,5
169,5
170,7
171,7
172,5
173,5
174,6
175,9
176,14
177,7
178,5
179,7
180,6
181,6
182,6
183,6
184,0
185,7
186,6
187,5
188,7
190,7
191,9
192,6
193,5
194,6
195,8
196,7
197,8
198,5
199,8
200,7
201,6
202,6
203,5
204,6
205,6
206,6
207,5
208,5
209,6
210,6
211,9
212,20
213,8
214,6
215,9
216,5
217,7
218,8
219,9
220,1
221,6
222,6
223,9
224,9
225,11
226,8
227,7
228,6
229,9
230,7
231,6
232,5
233,6
234,5
236,8
237,6
238,6
239,8
240,7
241,6
242,5
243,6
244,6
245,6
246,6
247,6
248,7
249,8
250,6
251,6
252,7
253,6
254,7
255,6
256,6
257,7
260,6
261,5
262,8
263,17
264,12
265,9
266,8
267,5
268,6
269,8
270,5
271,4
272,9
273,5
274,7
275,5
276,6
277,6
278,4
279,10
280,9
281,8
282,8
283,5
284,6
285,5
286,10
287,5
288,9
289,7
290,6
291,7
292,7
293,7
294,7
295,5
296,5
297,5
298,6
299,6
300,5
301,5
302,6
303,5
304,5
305,5
306,13
307,6
308,7
309,5
310,5
311,5
312,7
313,6
314,4
315,7
316,5
317,5
318,6
319,5
320,8
321,5
322,6
323,6
324,5
325,6
326,7
327,7
328,7
329,8
330,6
331,6
332,1
333,8
334,9
335,5
336,6
337,6
338,8
339,7
340,6
341,8
342,6
343,5
344,5
346,7
347,5
348,6
350,6
351,4
352,7
353,7
354,8
355,6
356,6
357,11
358,4
359,5
360,7
361,7
